epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.322,3.85302,2.7335,3.39245,0.00726,0.12177,0.03636,0.0131,5.07502,3.74763,3.99878,0.000659933,0.000659933,0.000659933
2,786.233,2.27633,1.5364,1.97071,0.62966,0.47639,0.50053,0.22051,2.07271,1.56221,1.94206,0.00130033,0.00130033,0.00130033
3,1202.61,2.02018,1.38323,1.72745,0.61504,0.50791,0.55452,0.26714,1.94933,3.66307,1.7882,0.00191433,0.00191433,0.00191433
4,1604.71,1.90915,1.28898,1.63888,0.80781,0.59746,0.71024,0.35963,1.82107,1.24341,1.71044,0.0018812,0.0018812,0.0018812
5,2013.5,1.82995,1.19327,1.56956,0.746,0.62647,0.70478,0.37414,1.73222,1.44479,1.65382,0.0018416,0.0018416,0.0018416
6,2409.72,1.77708,1.15287,1.52852,0.82599,0.67465,0.77738,0.41889,1.66312,1.12733,1.58079,0.001802,0.001802,0.001802
7,2810.64,1.72354,1.08707,1.49217,0.84214,0.64015,0.74485,0.41438,1.64049,1.16597,1.57296,0.0017624,0.0017624,0.0017624
8,3204.9,1.70257,1.07103,1.46796,0.80653,0.71128,0.80051,0.44364,1.61586,1.22333,1.54843,0.0017228,0.0017228,0.0017228
9,3598.44,1.6767,1.05245,1.45969,0.81529,0.65969,0.76194,0.38232,1.79339,1.1347,1.65844,0.0016832,0.0016832,0.0016832
10,3993.44,1.66974,1.0452,1.452,0.83423,0.69493,0.80477,0.45355,1.54335,1.01401,1.50233,0.0016436,0.0016436,0.0016436
11,4393.97,1.63267,1.00453,1.44127,0.83695,0.7164,0.81871,0.45685,1.57019,1.0229,1.51328,0.001604,0.001604,0.001604
12,4788.91,1.61701,0.98085,1.41593,0.79244,0.67144,0.74213,0.40983,1.57708,1.07586,1.51602,0.0015644,0.0015644,0.0015644
13,5183.62,1.61169,0.96322,1.39337,0.86351,0.727,0.8379,0.48001,1.51401,0.91823,1.48119,0.0015248,0.0015248,0.0015248
14,5584.84,1.58389,0.95136,1.38291,0.87445,0.73393,0.84483,0.49691,1.48217,0.87947,1.45522,0.0014852,0.0014852,0.0014852
